pid,name,alter,geschlecht,land,branche,subfokus,rolle,arbeitet_fachlich_mit,teamgroesse,jahresumsatz_eur,tech_affinitaet,digitale_reife,haltung,buchungswahrscheinlichkeit,nuetzlichster_teil,groesster_einwand,vertrauen_externe_gesundheitsdaten,aufbau_zu_guenstig,aufbau_guenstig,aufbau_teuer,aufbau_zu_teuer,aufbau_ideal,retainer_zu_guenstig,retainer_guenstig,retainer_teuer,retainer_zu_teuer,retainer_ideal
P011,Tobias,44,männlich,DE,Physiotherapie-/Therapiepraxis,Osteopathie,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,4,279000,2,1,überfordert / zu wenig Zeit,5,Terminorganisation und automatische Patientenkommunikation – sowie digitale Aufnahme neuer Klienten statt Papierbögen,"Schlechte Erfahrung mit früherer Softwareeinführung – Angst vor Aufwand der Umstellung, fehlender Nachbetreuung und vor Dingen die ich nicht verstehe (KI)","Sehr heikel – brauche konkrete Nachweise, Zertifizierungen und persönliche Referenzen, nicht nur das Wort 'datenschutzkonform'",500.0,1500.0,3000.0,5000.0,2000.0,50.0,120.0,250.0,400.0,150.0
P012,Stefanie,33,weiblich,DE,Ernährungs-/Gesundheitszentrum,Diätologie,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,9,430000,4,5,desinteressiert / sieht keinen Bedarf,4,"Onboarding und internes Wissensmanagement – kein direkter Klient:innendatenbezug, klarer interner Schmerz, konkret lösbar",Zeitaufwand für die Analyse selbst wird unterschätzt; externe Person versteht Fachlogik eines Diätologie-Betriebs nicht nach einem Erstgespräch; generische Lösungen passen oft nicht,"Sehr niedrig ohne konkrete Nachweise – DSGVO-konform als Schlagwort reicht nicht; will AVV, Transparenz über Datenverarbeitung und verständliche Erklärung, welche KI-Systeme Daten verarbeiten",800.0,1500.0,3500.0,6000.0,2200.0,150.0,300.0,600.0,1000.0,380.0
P013,Daniel,53,männlich,DE,Personal-Training-Studio,Small-Group-Training,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,4,246000,4,3,überfordert / zu wenig Zeit,6,"Terminorganisation und Kundenkommunikation, sowie digitalisierter Aufnahmeprozess für neue Klienten",Unklare Folgekosten nach der Erstanalyse und hoher eigener Zeitaufwand während der Einführungsphase befürchtet,"Kritisch – will konkrete, nicht pauschale Antworten zu Datenspeicherung, Zugriff und DSGVO; Floskeln reichen nicht",500.0,1500.0,3000.0,4500.0,2000.0,80.0,150.0,280.0,400.0,180.0
P014,Birgit,44,weiblich,AT,Präventions-/BGF-Anbieter,Rückenschule & Prävention,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,7,591000,4,5,überfordert / zu wenig Zeit,7,"Automatisierung von Anfragemanagement, Angebotserstellung und Terminorganisation; sauberer Onboarding-Prozess für neue Klientinnen und Klienten","Nachhaltigkeit nach Einrichtung unklar – wer pflegt das System, wenn externe Person weg ist? Frühere Erfahrung mit ungenutzten Tools; Datenschutz bei sensiblen Gesundheitsdaten ist zweiter zentraler Einwand","Sehr kritisch – braucht konkrete Nachweise: EU-Serverstandort, Auftragsverarbeitungsvereinbarung, klare Zugriffsregelungen; Sorgfaltspflicht gegenüber Klientinnen und Klienten wird sehr ernst genommen",500.0,1800.0,3500.0,5500.0,2400.0,100.0,250.0,450.0,700.0,320.0
P015,Markus,60,männlich,AT,Wellness-/Longevity-Praxis (Premium),Hormone & Performance,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,2,208000,2,2,stark skeptisch,5,Terminorganisation (täglicher Schmerzpunkt) und strukturierte Aufnahme neuer Klienten; Wissensmanagement bei zwei Personen eher Overkill,Kontrollverlust: Abhängigkeit von externem Wissen über eigenes System; KI-Prozesse nicht versteh- oder kontrollierbar; schlechte Vorerfahrungen mit eingerichteten Systemen die dann niemand mehr bedienen konnte,"Sehr kritisch – will konkrete Antworten zu Serverstandort, Zugriffsrechten, EU-Konformität und Auftragsverarbeitungsvertrag; keine Verhandlungsbasis bei Schwammigkeit",800.0,1500.0,3500.0,5500.0,2200.0,100.0,180.0,350.0,550.0,250.0
P016,Andreas,31,männlich,CH,Physiotherapie-/Therapiepraxis,klassische Physiotherapie,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,525000,2,1,überfordert / zu wenig Zeit,5,"Digitale Terminorganisation – täglich spürbar, konkretes Problem; auch Aufnahme neuer Klienten interessant","Zeitaufwand trotz externer Hilfe; Zweifel ob Lösung zu Physiotherapie-Spezifika passt (Tarmed, CH-System); Unbehagen wegen vermutetem Verkaufsdruck nach kostenloser Analyse","Grosses Thema – braucht konkrete Nachweise zu Datenschutz, Serverstandort, Auftragsverarbeitungsvertrag, Erfahrung im Gesundheitsbereich; kein Vertrauen auf Versprechen allein",500.0,1500.0,3500.0,5500.0,2200.0,80.0,200.0,400.0,700.0,280.0
P017,Nadine,62,weiblich,CH,Ernährungs-/Gesundheitszentrum,Ernährungsberatung,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,4,239000,1,1,früher Anwender / probiert gern Neues,7,Terminorganisation ist das offensichtlichste Problem; auch Klientenaufnahme und internes Wissensmanagement (Abhängigkeit von meiner Person reduzieren) sind relevant.,"Datenschutz bei Gesundheitsdaten ist absolut zentral – Serverstandort, Zugriffe, rechtliche Grundlage müssen glasklar sein. Zweiter Einwand: Aufwand der Einführung und Mitnahme des Teams, schlechte Erfahrung mit gescheiterter Softwareeinführung in der Vergangenheit.","Vertrauen muss verdient werden – klare rechtliche Grundlage (AVV, Schweizer DSG), Referenzen aus dem Gesundheitsbereich Schweiz erforderlich. Werde es rechtlich prüfen lassen, bevor etwas eingerichtet wird.",800.0,2500.0,4500.0,7000.0,3200.0,150.0,350.0,600.0,950.0,450.0
P018,Stefanie,38,weiblich,DE,Personal-Training-Studio,1:1 Personal Training,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,6,347000,4,4,desinteressiert / sieht keinen Bedarf,4,Internes Wissensmanagement und Kommunikationsstruktur; außerdem Prozess rund um Neukundenaufnahme,Versteckter Zeitaufwand für Einführung und Übergabe trotz kostenloser Erstanalyse; Skepsis gegenüber dem Begriff KI-gestützt – unklar was wirklich dahintersteckt und ob es wirklich passgenaue Lösung ist,"Kritisch – braucht konkrete Antworten zu Datenspeicherung, Serverstandort, Zugriffsrechten und AV-Vertrag; Versprechen allein reicht nicht",500.0,1500.0,3500.0,6000.0,2200.0,100.0,250.0,500.0,800.0,350.0
P019,Kim,39,divers,CH,Präventions-/BGF-Anbieter,Gesundheitscoaching für Firmen,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,9,723000,1,1,überfordert / zu wenig Zeit,6,Internes Wissensmanagement und strukturierte Klientenaufnahme – das trifft die grössten Schmerzpunkte im Alltag direkt,Was passiert nach der Einführung? Wer pflegt die Systeme? Ich habe keine IT-Kapazität und kein Verständnis für 'KI-gestützt' in der Praxis – Angst vor Abhängigkeit und Folgeaufwand,"Sehr kritisch – brauche konkrete Antworten zu Datenspeicherung (Schweiz/EU?), Zugriffsrechten und DSG-Konformität; würde rechtliche Beratung beiziehen bevor ich zustimme",1500.0,3000.0,6500.0,10000.0,3500.0,150.0,350.0,650.0,1000.0,450.0
P020,Corinne,56,weiblich,CH,Wellness-/Longevity-Praxis (Premium),Hormone & Performance,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,10,603000,2,3,skeptisch,5,"Terminmanagement (konkreter, sofort spürbarer Nutzen) und internes Wissensmanagement (Wissen aus eigenem Kopf in Struktur bringen)",Angst vor Standardlösung die nicht zum spezifischen Betrieb passt; Unklarheit über Folgekosten nach kostenloser Erstanalyse; externe Person versteht Betrieb möglicherweise nicht wirklich,"Sehr kritisch – hochsensible Hormondaten und persönliche Gesundheitsthemen; braucht nachprüfbare Garantien zu Datenspeicherung in der Schweiz und klare Datenschutznachweise, kein blindes Vertrauen",800.0,2500.0,5500.0,9000.0,3500.0,150.0,350.0,700.0,1200.0,480.0
P021,Matthias,32,männlich,CH,Physiotherapie-/Therapiepraxis,Logopädie im Verbund,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,553000,1,1,früher Anwender / probiert gern Neues,7,Terminorganisation und Kommunikation mit Klienten – grösster Zeitfresser; ausserdem strukturiertes Onboarding neuer Klienten,Unklar was KI konkret in meinem Kontext bedeutet; Frage wer das System danach wartet und anpasst – ohne interne IT fällt das wieder auf mich zurück,"Sehr vorsichtig – will konkrete Antworten zu Datenspeicherung (Schweiz/EU), Zugriffsrechten, Berufsgeheimnis und Verarbeitungsverzeichnis; 'datenschutzkonform' als Schlagwort reicht nicht",500.0,1500.0,4000.0,7000.0,2500.0,50.0,150.0,350.0,600.0,220.0
P022,Daniela,62,weiblich,CH,Ernährungs-/Gesundheitszentrum,Stoffwechsel & Darmgesundheit,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,8,562000,4,4,neugierig-offen,7,Wissensmanagement im Team und Prozessdokumentation – direkt verknüpft mit Zauberwunsch und Nachfolgeplanung; dicht gefolgt von Terminorganisation und automatisiertem Mahnwesen,Nachhaltigkeit und Alltagsverankerung fraglich (Erfahrung mit Einmallösungen); Zweifel ob Angebot wirklich zu Betriebsgrösse und spezifischen Gesundheitsbereich-Anforderungen passt statt Standardlösung,"Sehr kritisch – klare Bedingungen nötig: Serverstandort CH/EU, Zugriffsregelung, Verarbeitungsverzeichnis, vertragliche Absicherung; Vertrauen muss sich Person persönlich erarbeiten",1500.0,3500.0,6500.0,10000.0,4500.0,150.0,350.0,650.0,1000.0,450.0
P023,Patrick,53,männlich,CH,Personal-Training-Studio,Frauen-Fitness-Studio,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,4,312000,4,3,desinteressiert / sieht keinen Bedarf,4,Terminorganisation und einheitliche interne Kommunikation; sauberer Onboarding-Prozess für neue Klientinnen,Einführungsaufwand wird unterschätzt; kein internes IT-Know-how vorhanden; Angst vor System das nach Projektende niemand bedienen kann oder will,"Kritischer Punkt – will schriftliche Garantien zu Serverstandort (Schweiz/EU), Zugriffsrechten und Datenlöschung nach Projektende; ohne das ist es ein Ausschlusskriterium",500.0,1500.0,3500.0,6000.0,2000.0,80.0,200.0,450.0,700.0,280.0
P024,Birgit,50,weiblich,AT,Präventions-/BGF-Anbieter,Stress-/Resilienz-Programme,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,10,587000,4,5,neugierig-offen,7,"Internes Wissensmanagement und strukturiertes Onboarding neuer Klient:innen – größte aktuelle Schmerzpunkte, Terminorganisation weniger dringend weil teilweise schon abgedeckt",Zweifel ob externe Person gewachsene Abläufe schnell genug versteht; Misstrauen gegenüber Kostenstruktur nach der Gratis-Erstanalyse – Erfahrung mit versteckten Folgekosten durch Tools und Lizenzen,"Sehr heikel – Gesundheits- und psychische Belastungsdaten erfordern nachweisliche DSGVO-Konformität, europäische Datenhaltung, keine US-Cloud; würde Datenschutzbeauftragte einbeziehen – 'datenschutzkonform' als Versprechen reicht nicht",800.0,1500.0,3500.0,5500.0,2200.0,100.0,250.0,550.0,900.0,380.0
P025,Nicole,28,weiblich,DE,Wellness-/Longevity-Praxis (Premium),Medical Wellness,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,651000,5,5,pragmatisch-abwägend,6,Onboarding neuer Klienten digitalisieren und internes Wissensmanagement aufbauen,Zu schnelles Setup versteht den Betrieb nicht wirklich; fehlende Nachhaltigkeit wenn externe Person geht und Team das System nicht trägt,"Sehr kritisch – DSGVO-Konformität muss konkret und prüfbar sein, nicht nur behauptet; im Zweifelsfall rechtliche Prüfung vor Zugang",800.0,2000.0,4500.0,7500.0,3000.0,150.0,350.0,700.0,1200.0,500.0
P026,Elisabeth,54,weiblich,AT,Physiotherapie-/Therapiepraxis,Osteopathie,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,7,514000,1,1,desinteressiert / sieht keinen Bedarf,4,"Terminorganisation und automatische Klientenkommunikation (Erinnerungen, Absagen) – dort steckt der größte Zeitverlust",Abhängigkeit von externem Anbieter; Unklarheit über Wartung und Ansprechpartner; kostenlose Erstanalyse als Einstieg in teures Angebot; fehlende Branchenkenntnis des Externen,"Sehr gering ohne konkrete Nachweise: Serverstandort EU/AT, Auftragsverarbeitungsvertrag, klare Zugriffsregelungen – rechtliche Prüfung durch Anwalt Voraussetzung",800.0,1800.0,3500.0,5500.0,2200.0,100.0,250.0,450.0,700.0,290.0
P027,Lukas,54,männlich,CH,Ernährungs-/Gesundheitszentrum,Gewichtsmanagement,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,3,241000,2,2,neugierig-offen,6,"Automatisierte Terminorganisation und Klientenkommunikation – direkt spürbarer Zeitgewinn; sekundär: Dokumentation interner Abläufe, aber noch zu abstrakt",Fehlende Branchenspezifik der externen Person; eigene Kapazität für Einführung fehlt – kein Zeit-Budget für langwierige Umstellung während laufendem Betrieb,"Grosser Knackpunkt – will konkrete Nachweise zu Datenspeicherort, Zugriffsrechten und Haftung; Versprechen reichen nicht, braucht vertragliche Grundlage nach Schweizer Datenschutz",500.0,1500.0,3500.0,5500.0,2200.0,80.0,200.0,380.0,550.0,270.0
P028,Bernhard,44,männlich,AT,Personal-Training-Studio,Frauen-Fitness-Studio,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,7,564000,3,4,neugierig-offen,7,Internes Wissensmanagement und strukturiertes Onboarding neuer Klientinnen – trifft den echten Schmerzpunkt,Angst vor Unpersönlichkeit durch Automatisierung (Beziehungsqualität ist unser Kernwert) und versteckter Aufwand bei Implementierung,"Kritisch – braucht Transparenz über Datenlage, DSGVO-Ernsthaftigkeit und Zeit zum Vertrauensaufbau; kein automatisches Vertrauen",800.0,1800.0,3500.0,6000.0,2400.0,100.0,250.0,500.0,900.0,350.0
P029,Franziska,55,weiblich,DE,Präventions-/BGF-Anbieter,Rückenschule & Prävention,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,2,150000,2,1,desinteressiert / sieht keinen Bedarf,3,Automatisierung der Verwaltungsarbeit – Rechnungsstellung und Auswertungen für Firmenkunden; Terminorganisation per Telefon wird bewusst beibehalten wegen persönlicher Beziehungsqualität,"Angst vor dem Umstellungsaufwand bei laufendem Betrieb ohne Puffer; Zweifel ob informelle, erfahrungsbasierte Prozesse digitalisierbar sind; Misstrauen gegenüber Folgekosten nach kostenloser Erstanalyse","Sehr niedrig – Datenschutz ist K.o.-Kriterium; will genau verstehen wer Zugriff hat, wo Daten liegen und was damit passiert; 'datenschutzkonform' allein reicht nicht als Beruhigung",300.0,900.0,2000.0,3500.0,1200.0,50.0,110.0,200.0,350.0,150.0
P030,Gerald,51,männlich,AT,Wellness-/Longevity-Praxis (Premium),Spa & Privatklinik-nah,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,6,377000,3,4,skeptisch,6,"Terminorganisation und Klientenkommunikation als größter Zeitfresser; danach Aufnahmeprozess neuer Klienten, der noch nicht strukturiert genug ist",Premium-Markenkern darf nicht durch unpersönliche Automatisierung beschädigt werden; fehlende Betreuung nach Einrichtung – wer wartet das System langfristig wenn externe Person weg ist,"Kritisch – klare DSGVO-konforme Nachweise erforderlich, Datenlage und Zugriffe schriftlich, Rücksprache mit Steuerberater und Anwalt vor Zustimmung",500.0,1500.0,3500.0,5500.0,2200.0,100.0,250.0,500.0,800.0,350.0
P031,Daniela,35,weiblich,CH,Physiotherapie-/Therapiepraxis,Ergotherapie,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,8,481000,3,4,skeptisch,5,Internes Wissensmanagement als größter Schmerzpunkt; an zweiter Stelle Terminorganisation und Ausfallkommunikation; Klientenaufnahme interessant aber datenschutzsensibel,"Datenschutz bei Gesundheits- und Diagnosedaten (nDSG); Angst vor Abhängigkeit von externem Dienstleister, der danach nicht mehr verfügbar ist","Gering als Ausgangspunkt – Datenspeicherung CH/EU zwingend, Auftragsverarbeitungsvertrag, Referenzen aus Gesundheitsbereich erforderlich; Vertrauen braucht Zeit",800.0,1800.0,3500.0,5500.0,2400.0,150.0,280.0,480.0,700.0,350.0
P032,Stefan,33,männlich,DE,Ernährungs-/Gesundheitszentrum,Stoffwechsel & Darmgesundheit,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,6,357000,2,1,desinteressiert / sieht keinen Bedarf,4,Terminorganisation – täglicher Schmerzpunkt; danach strukturierte Neukundenaufnahme,System wird eingerichtet und dann bin ich allein damit; außerdem unklar was KI-gestützt konkret bedeutet und ob Entscheidungen abgegeben werden,"Kritisch – Datenschutz muss wirklich verständlich erklärt werden, nicht nur formal zugesichert; Vertrauen muss erarbeitet werden",500.0,1500.0,3500.0,5500.0,2200.0,80.0,180.0,350.0,500.0,220.0
P033,Sabine,35,weiblich,DE,Personal-Training-Studio,Frauen-Fitness-Studio,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,7,337000,4,5,pragmatisch-abwägend,7,Automatisierter Aufnahmeprozess für neue Klientinnen (Erstanfrage bis Vertragsabschluss) und strukturiertes internes Wissensmanagement für Onboarding,"Datenschutz muss konkret und belegt sein, nicht nur behauptet; Sorge dass Automatisierung den persönlichen Charakter des Studios zerstört und ältere Kundinnen irritiert","Verhalten skeptisch – Vertrauen muss aktiv verdient werden durch konkrete Transparenz zu Tools, Datenspeicherung, DSGVO und schriftliche Vereinbarungen; keine Selbstverständlichkeit",500.0,1500.0,3000.0,4500.0,2000.0,100.0,200.0,400.0,600.0,280.0
P034,Julia,53,weiblich,DE,Präventions-/BGF-Anbieter,Gesundheitscoaching für Firmen,Mitarbeitende Leitung (führt UND arbeitet selbst fachlich mit),True,6,577000,4,5,skeptisch,6,Strukturierter Aufnahmeprozess für neue Klienten und internes Wissensmanagement im Team,Datenschutz bei Gesundheitsdaten ist nicht nur Formalität – echte Haftungsfrage; außerdem Zweifel an Nachhaltigkeit ohne laufende externe Betreuung,"Grundsätzlich niedrig – braucht Nachweise zu Servern/DSGVO, echten AVV, Referenzen aus dem Gesundheitsbereich; ohne das kein Zugang zu Klientendaten",800.0,1500.0,3500.0,5500.0,2200.0,100.0,200.0,450.0,700.0,280.0
P035,Janine,42,weiblich,CH,Wellness-/Longevity-Praxis (Premium),Hormone & Performance,"Inhaberin/Inhaber, rein unternehmerisch (kaum noch fachlich am Menschen)",False,10,800000,3,3,neugierig-offen,7,Strukturiertes Klienten-Onboarding und automatisierte Klientenkommunikation; sowie internes Wissensmanagement um Abhängigkeit von eigener Präsenz zu reduzieren,Zu generisch wirkend – fehlendes Branchenverständnis für Premiumsegment Gesundheit; Skepsis gegenüber 'kostenlos' als verstecktem Einstieg; Zweifel ob Einrichtung nachhaltig begleitet wird,"Sehr kritisch – braucht klare Verträge, Datenhaltung Schweiz/EU, Transparenz über KI-Zugriff auf Gesundheitsdaten; kein blindes Vertrauen, ggf. rechtliche Prüfung",2000.0,4500.0,9000.0,14000.0,6500.0,200.0,450.0,900.0,1600.0,650.0
